Entry	Entry Name	Gene Names
O32721	SP2AB_PAEPO	spoIIAB
O32724	SP2AB_LYSSH	spoIIAB
O34779	PRPC_BACSU	prpC yloO BSU15760
O34800	SP2SB_BACSU	spoIISB BSU12820
O34816	YKUD_BACSU	ykuD BSU14040
O34853	SP2SA_BACSU	spoIISA ykaC BSU12830
P00781	SUBD_BACLI	apr
P05516	BINA2_LYSSH	binA
P06222	RPSE_BACSU	sigE spoIIGB BSU15320
P06533	SINR_BACSU	sinR flaD sin BSU24610
P06535	SP0B_BACSU	spo0B spo0D BSU27930
P06628	SP0F_BACSU	spo0F BSU37130
P07373	SP5E_BACSU	spoVE BSU15210
P07518	SUBT_BACPU	apr
P08874	ABRB_BACSU	abrB cpsX BSU00370
P0A379	CR3AA_BACTT	cry3Aa bt13 cry3A cryC cryIIIa cryIIIA(a)
P0A381	CR3AA_BACTD	cry3Aa bt13 cry3A cryC cryIIIa cryIIIA(a)
P0A3V1	SLEB_BACCE	sleB
P0DPJ9	SLEL_BACAN	sleL BAS3402
P10565	BINB1_LYSSH	binB sph04
P10727	SP2AA_BACSU	spoIIAA BSU23470
P11065	HPR_BACSU	hpr catA scoC BSU09990
P12254	RPSK_BACSU	sigK cisB spoIIIC spoIVCB BSU25760/BSU26390
P13243	ALF_BACSU	fbaA fba fba1 orfY-tsr BSU37120
P16497	KINA_BACSU	kinA gsiC scoD spoIIF spoIIJ BSU13990
P18568	BINB2_LYSSH	binB sph04
P19638	UDPK_BACSU	dgkA dgk yqxF BSU25310
P19940	RPSG_BACSU	sigG spoIIIG BSU15330
P21158	CSGA_MYXXA	csgA spoC
P24136	OPPD_BACSU	oppD spo0KD BSU11460
P24137	OPPF_BACSU	oppF spo0KE BSU11470
P24138	OPPB_BACSU	oppB spo0KB BSU11440
P24139	OPPC_BACSU	oppC spo0KC BSU11450
P26497	SP0J_BACSU	spo0J parB BSU40960
P26778	SP2AB_BACLI	spoIIAB
P26902	DPPA_BACSU	dppA dciAA BSU12920
P26936	SP4FA_BACSU	spoIVFA bofB BSU27980
P27206	SRFAA_BACSU	srfAA srfA srfA1 BSU03480
P28264	FTSA_BACSU	ftsA BSU15280
P29599	SUBB_LEDLE	NA
P29600	SUBS_LEDLE	NA
P31114	HEPS2_BACSU	hepT gerC3 gerCC hepB BSU22740
P35148	SP2AB_PRIMG	spoIIAB
